"gID";"T";"x";"y";"itemsInCraneID"
0;1.0;-5;5;null
0;11.0;-5;5;2600
0;197.0;925;5;2600
0;207.0;925;5;null
0;393.0;-5;5;null
0;403.0;-5;5;2601
0;505.0;505;5;2601
0;515.0;505;5;null
0;617.0;-5;5;null
0;627.0;-5;5;2602
0;701.0;365;5;2602
0;711.0;365;5;null
0;785.0;-5;5;null
0;795.0;-5;5;2603
0;879.0;415;5;2603
0;889.0;415;5;null
0;973.0;-5;5;null
0;983.0;-5;5;2604
0;1033.0;245;5;2604
0;1043.0;245;5;null
0;1093.0;-5;5;null
0;1103.0;-5;5;2605
0;1185.0;405;5;2605
0;1195.0;405;5;null
0;1277.0;-5;5;null
0;1287.0;-5;5;2606
0;1335.0;235;5;2606
0;1345.0;235;5;null
0;1393.0;-5;5;null
0;1403.0;-5;5;2607
0;1457.0;265;5;2607
0;1467.0;265;5;null
0;1521.0;-5;5;null
0;1531.0;-5;5;2608
0;1617.0;425;5;2608
0;1627.0;425;5;null
0;1713.0;-5;5;null
0;1723.0;-5;5;2609
0;1759.0;175;5;2609
0;1769.0;175;5;null
0;1805.0;-5;5;null
0;1815.0;-5;5;2610
0;1863.0;235;5;2610
0;1873.0;235;5;null
0;1921.0;-5;5;null
0;1931.0;-5;5;2611
0;2003.0;355;5;2611
0;2013.0;355;5;null
0;2085.0;-5;5;null
0;2095.0;-5;5;2612
0;2157.0;305;5;2612
0;2167.0;305;5;null
0;2229.0;-5;5;null
0;2239.0;-5;5;2613
0;2425.0;925;5;2613
0;2435.0;925;5;null
0;2621.0;-5;5;null
0;2631.0;-5;5;2614
0;2797.0;825;5;2614
0;2807.0;825;5;null
0;2973.0;-5;5;null
0;2983.0;-5;5;2615
0;3111.0;635;5;2615
0;3121.0;635;5;null
0;3249.0;-5;5;null
0;3259.0;-5;5;2616
0;3333.0;365;5;2616
0;3343.0;365;5;null
0;3417.0;-5;5;null
0;3427.0;-5;5;2617
0;3433.0;25;5;2617
0;3443.0;25;5;null
0;3449.0;-5;5;null
0;3459.0;-5;5;2618
0;3631.0;855;5;2618
0;3641.0;855;5;null
0;3813.0;-5;5;null
0;3823.0;-5;5;2619
0;3907.0;415;5;2619
0;3917.0;415;5;null
0;4001.0;-5;5;null
0;4011.0;-5;5;2620
0;4061.0;245;5;2620
0;4071.0;245;5;null
0;4121.0;-5;5;null
0;4131.0;-5;5;2621
0;4273.0;705;5;2621
0;4283.0;705;5;null
0;4425.0;-5;5;null
0;4435.0;-5;5;2622
0;4451.0;75;5;2622
0;4461.0;75;5;null
0;4477.0;-5;5;null
0;4487.0;-5;5;2623
0;4589.0;505;5;2623
0;4599.0;505;5;null
0;4701.0;-5;5;null
